ticket_id,customer_id,ticket_month,reason,resolved_flag
TKT000171,CUST000090,2025-02-01,Requesting card cancellation,1
TKT000172,CUST000090,2025-02-01,Fraud concern,1
TKT000173,CUST000090,2025-03-01,General inquiry,1
TKT000174,CUST000090,2025-03-01,Billing dispute,1
TKT000175,CUST000090,2025-03-01,Rewards points issue,1
TKT000176,CUST000090,2025-11-01,Requesting card cancellation,1
TKT000177,CUST000090,2025-11-01,Requesting credit limit increase,1
TKT000178,CUST000090,2025-12-01,App/website login issue,1
TKT000179,CUST000093,2025-08-01,Late payment inquiry,1
TKT000180,CUST000093,2025-09-01,Fee complaint,1
TKT000181,CUST000093,2025-09-01,Fraud concern,0
TKT000182,CUST000093,2025-09-01,App/website login issue,1
TKT000183,CUST000099,2025-02-01,Fee complaint,1
TKT000184,CUST000099,2025-05-01,Card not working,1
TKT000185,CUST000099,2025-06-01,Requesting card cancellation,1
TKT000186,CUST000099,2025-07-01,Fee complaint,1
TKT000187,CUST000099,2025-07-01,Requesting card cancellation,0
TKT000188,CUST000099,2025-08-01,Fee complaint,1
TKT000189,CUST000099,2025-08-01,Requesting credit limit increase,1
TKT000190,CUST000099,2025-09-01,Billing dispute,1
TKT000191,CUST000099,2025-09-01,Rewards points issue,1
TKT000192,CUST000099,2025-10-01,Fee complaint,1
TKT000193,CUST000099,2025-11-01,Requesting credit limit increase,1
TKT000194,CUST000099,2025-12-01,Late payment inquiry,1
TKT000195,CUST000099,2025-12-01,Requesting credit limit increase,1
TKT000196,CUST000100,2025-02-01,Billing dispute,1
TKT000197,CUST000100,2025-03-01,Fee complaint,1
TKT000198,CUST000100,2025-03-01,Fee complaint,1
TKT000199,CUST000100,2025-03-01,Late payment inquiry,0
TKT000200,CUST000100,2025-06-01,Fee complaint,1
TKT000201,CUST000100,2025-06-01,Fee complaint,1
TKT000202,CUST000100,2025-06-01,Late payment inquiry,0
TKT000203,CUST000100,2025-09-01,Rewards points issue,1
TKT000204,CUST000100,2025-10-01,Card not working,1
TKT000205,CUST000100,2025-11-01,Fee complaint,1
TKT000206,CUST000100,2025-11-01,Billing dispute,1
TKT000207,CUST000107,2025-01-01,App/website login issue,1
TKT000208,CUST000107,2025-03-01,General inquiry,1
TKT000209,CUST000107,2025-03-01,Requesting credit limit increase,1
TKT000210,CUST000107,2025-05-01,Late payment inquiry,1
TKT000211,CUST000107,2025-06-01,Rewards points issue,0
TKT000212,CUST000107,2025-07-01,App/website login issue,1
TKT000213,CUST000107,2025-08-01,App/website login issue,1
TKT000214,CUST000107,2025-10-01,App/website login issue,1
TKT000215,CUST000107,2025-11-01,Rewards points issue,1
TKT000216,CUST000107,2025-11-01,General inquiry,1
TKT000217,CUST000108,2025-09-01,Late payment inquiry,1
TKT000218,CUST000108,2025-09-01,Late payment inquiry,1
TKT000219,CUST000108,2025-10-01,Fraud concern,1
TKT000220,CUST000108,2025-10-01,Fee complaint,1
TKT000221,CUST000113,2025-01-01,Billing dispute,1
TKT000222,CUST000113,2025-01-01,Fee complaint,1
TKT000223,CUST000113,2025-03-01,General inquiry,1
TKT000224,CUST000113,2025-03-01,Late payment inquiry,1
TKT000225,CUST000113,2025-04-01,Requesting card cancellation,1
TKT000226,CUST000113,2025-04-01,Fee complaint,1
TKT000227,CUST000113,2025-04-01,Late payment inquiry,0
TKT000228,CUST000113,2025-04-01,App/website login issue,1
TKT000229,CUST000113,2025-05-01,App/website login issue,0
TKT000230,CUST000113,2025-06-01,Card not working,1
TKT000231,CUST000113,2025-06-01,Fee complaint,1
TKT000232,CUST000113,2025-07-01,Card not working,1
TKT000233,CUST000113,2025-07-01,Requesting card cancellation,1
TKT000234,CUST000113,2025-08-01,Card not working,1
TKT000235,CUST000113,2025-08-01,Billing dispute,1
TKT000236,CUST000113,2025-09-01,Billing dispute,1
TKT000237,CUST000113,2025-10-01,Billing dispute,1
TKT000238,CUST000113,2025-10-01,Late payment inquiry,1
TKT000239,CUST000113,2025-10-01,Requesting card cancellation,1
TKT000240,CUST000113,2025-10-01,Requesting card cancellation,0
TKT000241,CUST000113,2025-10-01,Billing dispute,1
TKT000242,CUST000113,2025-11-01,Late payment inquiry,0
TKT000243,CUST000113,2025-11-01,App/website login issue,0
TKT000244,CUST000113,2025-12-01,Late payment inquiry,1
TKT000245,CUST000116,2025-08-01,Billing dispute,1
TKT000246,CUST000116,2025-09-01,Billing dispute,1
TKT000247,CUST000117,2025-01-01,Fraud concern,1
TKT000248,CUST000117,2025-04-01,Billing dispute,1
TKT000249,CUST000117,2025-06-01,Fee complaint,0
TKT000250,CUST000117,2025-06-01,Card not working,1
TKT000251,CUST000117,2025-08-01,Requesting card cancellation,1
TKT000252,CUST000117,2025-09-01,Billing dispute,1
TKT000253,CUST000117,2025-11-01,Fee complaint,1
TKT000254,CUST000117,2025-11-01,Rewards points issue,0
TKT000255,CUST000117,2025-12-01,Billing dispute,1
TKT000256,CUST000122,2025-02-01,Fraud concern,0
TKT000257,CUST000122,2025-02-01,Fraud concern,1
TKT000258,CUST000122,2025-02-01,Late payment inquiry,1
TKT000259,CUST000122,2025-03-01,Billing dispute,1
TKT000260,CUST000122,2025-04-01,Fee complaint,1
TKT000261,CUST000122,2025-04-01,Rewards points issue,1
TKT000262,CUST000122,2025-04-01,App/website login issue,0
TKT000263,CUST000122,2025-05-01,General inquiry,1
TKT000264,CUST000122,2025-06-01,Late payment inquiry,0
TKT000265,CUST000122,2025-08-01,Billing dispute,1
TKT000266,CUST000122,2025-08-01,Fee complaint,1
TKT000267,CUST000127,2025-01-01,Late payment inquiry,1
TKT000268,CUST000127,2025-01-01,Requesting credit limit increase,1
TKT000269,CUST000127,2025-01-01,General inquiry,0
TKT000270,CUST000127,2025-03-01,App/website login issue,1
TKT000271,CUST000127,2025-04-01,Fee complaint,1
TKT000272,CUST000127,2025-04-01,General inquiry,1
TKT000273,CUST000127,2025-04-01,Fraud concern,1
TKT000274,CUST000127,2025-04-01,Fee complaint,1
TKT000275,CUST000127,2025-06-01,Rewards points issue,1
TKT000276,CUST000127,2025-06-01,General inquiry,1
TKT000277,CUST000127,2025-07-01,General inquiry,1
TKT000278,CUST000127,2025-08-01,Card not working,0
TKT000279,CUST000127,2025-09-01,Card not working,1
TKT000280,CUST000127,2025-10-01,Card not working,1
TKT000281,CUST000127,2025-10-01,Late payment inquiry,1
TKT000282,CUST000127,2025-10-01,Rewards points issue,1
TKT000283,CUST000127,2025-11-01,Rewards points issue,1
TKT000284,CUST000127,2025-12-01,App/website login issue,1
TKT000285,CUST000130,2025-04-01,Rewards points issue,1
TKT000286,CUST000130,2025-05-01,General inquiry,0
TKT000287,CUST000130,2025-06-01,Fee complaint,1
TKT000288,CUST000130,2025-07-01,Billing dispute,1
TKT000289,CUST000130,2025-07-01,Fee complaint,0
TKT000290,CUST000130,2025-08-01,Billing dispute,1
TKT000291,CUST000130,2025-09-01,Fee complaint,1
TKT000292,CUST000130,2025-10-01,App/website login issue,1
TKT000293,CUST000130,2025-10-01,Card not working,1
TKT000294,CUST000130,2025-12-01,Late payment inquiry,1
TKT000295,CUST000130,2025-12-01,Rewards points issue,1
TKT000296,CUST000130,2025-12-01,General inquiry,1
TKT000297,CUST000130,2025-12-01,Card not working,0
TKT000298,CUST000133,2025-01-01,Card not working,1
TKT000299,CUST000133,2025-02-01,App/website login issue,1
TKT000300,CUST000133,2025-06-01,General inquiry,1
TKT000301,CUST000133,2025-06-01,Late payment inquiry,1
TKT000302,CUST000133,2025-07-01,General inquiry,1
TKT000303,CUST000133,2025-08-01,Rewards points issue,0
TKT000304,CUST000133,2025-08-01,Late payment inquiry,1
TKT000305,CUST000141,2025-01-01,Requesting card cancellation,1
TKT000306,CUST000141,2025-02-01,Late payment inquiry,1
TKT000307,CUST000141,2025-02-01,Requesting card cancellation,0
TKT000308,CUST000141,2025-02-01,Fee complaint,1
TKT000309,CUST000141,2025-02-01,Rewards points issue,0
TKT000310,CUST000141,2025-02-01,Rewards points issue,0
TKT000311,CUST000141,2025-03-01,Late payment inquiry,1
TKT000312,CUST000141,2025-04-01,App/website login issue,1
TKT000313,CUST000141,2025-05-01,Card not working,1
TKT000314,CUST000141,2025-05-01,Fee complaint,0
TKT000315,CUST000141,2025-05-01,Rewards points issue,1
TKT000316,CUST000141,2025-06-01,Late payment inquiry,1
TKT000317,CUST000141,2025-08-01,App/website login issue,1
TKT000318,CUST000141,2025-08-01,App/website login issue,1
TKT000319,CUST000141,2025-08-01,Fee complaint,1
TKT000320,CUST000141,2025-09-01,Fraud concern,1
TKT000321,CUST000141,2025-09-01,Billing dispute,1
TKT000322,CUST000141,2025-09-01,Card not working,0
TKT000323,CUST000141,2025-09-01,General inquiry,1
TKT000324,CUST000141,2025-09-01,Requesting card cancellation,1
TKT000325,CUST000141,2025-09-01,Fee complaint,1
TKT000326,CUST000141,2025-10-01,Card not working,1
TKT000327,CUST000141,2025-11-01,Fee complaint,1
TKT000328,CUST000141,2025-11-01,Late payment inquiry,1
TKT000329,CUST000141,2025-11-01,Late payment inquiry,1
TKT000330,CUST000141,2025-12-01,Fee complaint,1
TKT000331,CUST000143,2025-07-01,Rewards points issue,1
TKT000332,CUST000148,2025-03-01,Requesting card cancellation,1
TKT000333,CUST000148,2025-05-01,Rewards points issue,1
TKT000334,CUST000148,2025-05-01,Card not working,1
TKT000335,CUST000148,2025-05-01,Card not working,1
TKT000336,CUST000148,2025-06-01,General inquiry,1
TKT000337,CUST000148,2025-08-01,Fee complaint,1
TKT000338,CUST000148,2025-09-01,Late payment inquiry,1
TKT000339,CUST000148,2025-10-01,Fee complaint,1
TKT000340,CUST000149,2025-03-01,General inquiry,1
TKT000341,CUST000149,2025-03-01,Fee complaint,1
TKT000342,CUST000149,2025-03-01,Card not working,1
TKT000343,CUST000149,2025-04-01,Fee complaint,1
TKT000344,CUST000149,2025-04-01,Fraud concern,1
TKT000345,CUST000158,2025-02-01,Fraud concern,1
TKT000346,CUST000158,2025-03-01,Fraud concern,0
TKT000347,CUST000158,2025-03-01,Fee complaint,1
TKT000348,CUST000158,2025-05-01,Late payment inquiry,1
TKT000349,CUST000158,2025-06-01,Fee complaint,1
TKT000350,CUST000158,2025-07-01,General inquiry,1
TKT000351,CUST000158,2025-07-01,General inquiry,1
TKT000352,CUST000158,2025-10-01,Requesting card cancellation,1
TKT000353,CUST000158,2025-10-01,App/website login issue,1
TKT000354,CUST000158,2025-12-01,Billing dispute,1
TKT000355,CUST000158,2025-12-01,Requesting card cancellation,1
TKT000356,CUST000158,2025-12-01,App/website login issue,1
TKT000357,CUST000159,2025-04-01,General inquiry,1
TKT000358,CUST000159,2025-05-01,App/website login issue,0
TKT000359,CUST000159,2025-06-01,Card not working,1
TKT000360,CUST000160,2025-08-01,Requesting credit limit increase,1
TKT000361,CUST000163,2025-03-01,Requesting card cancellation,1
TKT000362,CUST000165,2025-01-01,Billing dispute,1
TKT000363,CUST000165,2025-02-01,Billing dispute,0
TKT000364,CUST000165,2025-02-01,Billing dispute,1
TKT000365,CUST000165,2025-04-01,Fee complaint,1
TKT000366,CUST000165,2025-04-01,Rewards points issue,1
TKT000367,CUST000165,2025-05-01,Rewards points issue,1
TKT000368,CUST000165,2025-07-01,Rewards points issue,1
TKT000369,CUST000165,2025-10-01,General inquiry,1
TKT000370,CUST000165,2025-10-01,Requesting credit limit increase,1
TKT000371,CUST000165,2025-12-01,General inquiry,1
TKT000372,CUST000165,2025-12-01,Rewards points issue,1
TKT000373,CUST000165,2025-12-01,General inquiry,1
TKT000374,CUST000170,2025-04-01,General inquiry,1
TKT000375,CUST000170,2025-06-01,Billing dispute,1
TKT000376,CUST000171,2025-01-01,Fee complaint,1
TKT000377,CUST000171,2025-02-01,General inquiry,1
TKT000378,CUST000171,2025-02-01,General inquiry,1
TKT000379,CUST000171,2025-03-01,General inquiry,1
TKT000380,CUST000171,2025-06-01,Rewards points issue,1
TKT000381,CUST000171,2025-07-01,Fee complaint,1
TKT000382,CUST000171,2025-08-01,Card not working,1
TKT000383,CUST000171,2025-09-01,Requesting card cancellation,1
TKT000384,CUST000171,2025-11-01,Fee complaint,1
TKT000385,CUST000171,2025-12-01,Billing dispute,1
TKT000386,CUST000171,2025-12-01,Rewards points issue,1
TKT000387,CUST000179,2025-04-01,Billing dispute,1
TKT000388,CUST000179,2025-04-01,Requesting card cancellation,1
TKT000389,CUST000179,2025-04-01,Fraud concern,1
TKT000390,CUST000179,2025-05-01,Fraud concern,0
TKT000391,CUST000186,2025-06-01,Requesting credit limit increase,0
TKT000392,CUST000192,2025-03-01,Card not working,1
TKT000393,CUST000209,2025-05-01,Billing dispute,1
TKT000394,CUST000209,2025-05-01,General inquiry,1
TKT000395,CUST000209,2025-09-01,Billing dispute,1
TKT000396,CUST000209,2025-09-01,Fraud concern,1
TKT000397,CUST000209,2025-10-01,Fee complaint,1
TKT000398,CUST000209,2025-10-01,Late payment inquiry,1
TKT000399,CUST000209,2025-11-01,General inquiry,1
TKT000400,CUST000209,2025-11-01,Card not working,1
TKT000401,CUST000209,2025-11-01,General inquiry,1
TKT000402,CUST000209,2025-12-01,Rewards points issue,1
TKT000403,CUST000212,2025-05-01,Late payment inquiry,1
TKT000404,CUST000212,2025-05-01,Rewards points issue,0
TKT000405,CUST000212,2025-05-01,Requesting credit limit increase,1
TKT000406,CUST000222,2025-01-01,App/website login issue,0
TKT000407,CUST000222,2025-02-01,General inquiry,1
TKT000408,CUST000222,2025-02-01,General inquiry,1
TKT000409,CUST000222,2025-02-01,Late payment inquiry,1
TKT000410,CUST000222,2025-04-01,App/website login issue,1
TKT000411,CUST000222,2025-05-01,Requesting card cancellation,1
TKT000412,CUST000222,2025-05-01,General inquiry,1
TKT000413,CUST000222,2025-06-01,App/website login issue,0
TKT000414,CUST000222,2025-07-01,Billing dispute,1
TKT000415,CUST000222,2025-08-01,Rewards points issue,1
TKT000416,CUST000222,2025-09-01,Fee complaint,1
TKT000417,CUST000222,2025-11-01,Fee complaint,1
TKT000418,CUST000222,2025-11-01,Rewards points issue,1
TKT000419,CUST000231,2025-01-01,Fee complaint,1
TKT000420,CUST000231,2025-01-01,Fee complaint,1
TKT000421,CUST000231,2025-02-01,Billing dispute,1
TKT000422,CUST000231,2025-02-01,Requesting card cancellation,1
TKT000423,CUST000231,2025-02-01,App/website login issue,1
TKT000424,CUST000231,2025-04-01,Billing dispute,1
TKT000425,CUST000231,2025-08-01,Rewards points issue,1
TKT000426,CUST000231,2025-10-01,Late payment inquiry,1
TKT000427,CUST000231,2025-11-01,Card not working,1
TKT000428,CUST000231,2025-12-01,Fee complaint,1
TKT000429,CUST000231,2025-12-01,Billing dispute,1
TKT000430,CUST000234,2025-03-01,Requesting card cancellation,0
TKT000431,CUST000234,2025-04-01,Rewards points issue,0
TKT000432,CUST000234,2025-04-01,General inquiry,1
TKT000433,CUST000234,2025-05-01,Rewards points issue,1
TKT000434,CUST000234,2025-07-01,App/website login issue,1
TKT000435,CUST000234,2025-08-01,Fraud concern,1
TKT000436,CUST000234,2025-09-01,General inquiry,1
TKT000437,CUST000234,2025-09-01,Late payment inquiry,1
TKT000438,CUST000234,2025-10-01,Fee complaint,1
TKT000439,CUST000234,2025-11-01,Late payment inquiry,1
TKT000440,CUST000234,2025-11-01,Card not working,1
TKT000441,CUST000234,2025-11-01,General inquiry,1
TKT000442,CUST000234,2025-12-01,Rewards points issue,0
TKT000443,CUST000235,2025-03-01,App/website login issue,0
TKT000444,CUST000235,2025-04-01,Requesting credit limit increase,1
TKT000445,CUST000235,2025-04-01,Rewards points issue,1
TKT000446,CUST000235,2025-05-01,Rewards points issue,1
TKT000447,CUST000235,2025-06-01,Requesting card cancellation,1
TKT000448,CUST000235,2025-06-01,Late payment inquiry,1
TKT000449,CUST000235,2025-06-01,Fraud concern,1
TKT000450,CUST000235,2025-07-01,Fee complaint,1
TKT000451,CUST000235,2025-08-01,Late payment inquiry,1
TKT000452,CUST000235,2025-09-01,General inquiry,1
TKT000453,CUST000235,2025-09-01,Fraud concern,1
TKT000454,CUST000235,2025-11-01,Late payment inquiry,1
TKT000455,CUST000235,2025-11-01,Fee complaint,1
TKT000456,CUST000235,2025-12-01,Card not working,1
TKT000457,CUST000238,2025-01-01,Late payment inquiry,1
TKT000458,CUST000238,2025-01-01,General inquiry,1
TKT000459,CUST000238,2025-03-01,Late payment inquiry,1
TKT000460,CUST000238,2025-05-01,Card not working,1
TKT000461,CUST000238,2025-06-01,Billing dispute,1
TKT000462,CUST000238,2025-06-01,Card not working,1
TKT000463,CUST000238,2025-07-01,App/website login issue,1
TKT000464,CUST000238,2025-09-01,Card not working,1
TKT000465,CUST000238,2025-10-01,Rewards points issue,1
TKT000466,CUST000238,2025-11-01,General inquiry,1
TKT000467,CUST000238,2025-11-01,General inquiry,0
TKT000468,CUST000238,2025-12-01,Card not working,1
TKT000469,CUST000247,2025-10-01,Fee complaint,0
TKT000470,CUST000247,2025-10-01,Requesting card cancellation,1
TKT000471,CUST000247,2025-10-01,Billing dispute,0
TKT000472,CUST000255,2025-01-01,Card not working,0
TKT000473,CUST000255,2025-04-01,Late payment inquiry,0
TKT000474,CUST000255,2025-04-01,Billing dispute,1
TKT000475,CUST000255,2025-05-01,Requesting card cancellation,1
TKT000476,CUST000255,2025-06-01,Late payment inquiry,1
TKT000477,CUST000255,2025-06-01,Requesting card cancellation,1
TKT000478,CUST000255,2025-07-01,Requesting card cancellation,1
TKT000479,CUST000255,2025-11-01,App/website login issue,1
TKT000480,CUST000255,2025-12-01,Card not working,1
TKT000481,CUST000257,2025-01-01,Rewards points issue,1
TKT000482,CUST000257,2025-01-01,Fee complaint,1
TKT000483,CUST000257,2025-02-01,Late payment inquiry,1
TKT000484,CUST000257,2025-03-01,Fraud concern,0
TKT000485,CUST000257,2025-05-01,Requesting card cancellation,0
TKT000486,CUST000257,2025-08-01,General inquiry,1
TKT000487,CUST000257,2025-08-01,Billing dispute,1
TKT000488,CUST000257,2025-09-01,Rewards points issue,0
TKT000489,CUST000257,2025-11-01,Late payment inquiry,1
